,phone
1,+25290870
2,+47584872
3,+47584867
4,+25291021
5,+47584871
6,+25291018
7,+25290908
8,+25290864
9,+47584869
10,+47584873
11,+47584870
12,+47584868
13,+351 218106191
14,+351808242424
15,+351961706472
16,+351 961 706 472
17,+351217929714
18,+351 217 929 714
19,+351800500501
20,+351 213 212 484
